"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11"
"4295","county","St. Louis County","driving","","Missouri","United States",100,103.46,104.35,104.23,73.48,107.4,76.84,91.68,96.85,98.46,94.53,105.05,105.35,73.64,90.5,96.94,95.71,101.6,116.2,110.01,73.88,90.3,102.18,80.89,95.37,111.83,108.95,76.77,94.92,100.17,99.64,104.4,130.3,116.35,88.24,97.07,102.57,102.49,107.33,132.93,121.07,86.04,100.76,105.55,105.99,109.64,126.85,126.61,89.48,98.36,108.48,108.35,112.71,132,134.19,88.62,99.11,105.36,105.62,100.3,110.61,90.98,63.72,75.65,73.42,65.64,62.39,70.7,58.06,39.21,47.58,45.91,51.9,53.57,57.3,46.6,44.1,52.84,53.94,54.08,55.31,60.72,46.81,38.5,50.3,53.03,54.78,55.76,63.94,54.8,33.89,54.2,55.33,60.84,62.48,64.69,64.4,50.88,63.84,65.41,64.08,64.86,73.13,59.15,56.93,67.16,68.49,67.01,77.01,86.08,77.06,59.26,72.21,77.73,80.41,84.31,91.52,90.49,64.19,NA,NA,83.18,89.62,100.54,91.01,70.78,97.59,100.3,103.16,108.58,122.21,106.33,78.8,79.84,105.39,103.95,112.28,129.96,119.5,93.99,111.75,112.95,113.66,119.87,133.1,120.08,96.54,113.64,112.99,121.99,126.47,138.94,132.51,103.58,121.32,124.78,127.11,132.74,145.52,129.22,94.81,118.77,130.53,133.07,136.76,148.75,130.1,104.73,124.37,118.25,130.65,142.77,134.43,99.64,93.87,122.62,125.5,128.68,133.29,149.18,132.93,105.78,124.48,127.66,123.71,136.73,146,133.61,102.97,119.59,123.05,128.88,131.75,146.69,131.67,105.12,117.03,128.17,127.02,127.5,134.55,127.09,101.42,123.85,130.74,128.94,133.89,146.72,129.62,102.86,119.38,130.61,127.96,131.91,144.71,132.35,104.87,119.78,121.04,124.33,128.83,143.09,130.53,99.46,111.53,114.84,117.76,119.67,138.04,131.47,101.46,109.68,112.44,118.39,126.57,146.26,130.19,102.72,94.32,115.04,119.89,122.99,141.44
"4296","county","St. Louis County","transit","","Missouri","United States",100,101.96,99.48,91.57,79.25,82.88,72.16,86.51,97.55,96.79,86.25,94.47,88.83,69.89,91.02,94.15,89.04,93.14,100.1,89.38,77.3,104.2,95.25,87.11,92.07,97.55,90.32,77.97,94.57,103.78,85.73,93.87,102.06,94.62,86.64,93.82,104.02,96.92,95.15,104.78,103,81.21,91.13,94.47,95.28,99.5,107.1,102.56,79.28,94.68,97.08,95.67,99.43,103.68,104.38,79.07,94.78,92.09,91.86,85.28,89.8,76.98,62.27,80.82,69.26,66.08,59.13,60.65,57.93,43.79,62.87,54.93,56.81,59.86,57.25,49.97,46.76,55.38,57.72,57.44,53.94,54.49,45.25,46.87,51.67,53.76,56.86,48.2,49.74,43.37,39.25,50.91,42.59,43.84,48.15,43.5,45.56,43.92,51.54,52.58,48.43,51.38,55.25,43.19,48.64,54.02,53.71,48.98,53.81,55.38,50.26,48.7,55.25,52.22,55.77,59.16,57.8,47.44,45.96,47.47,41.02,53.39,55.45,53.58,47.86,48.46,57.15,59.86,60.44,60.15,63.54,59.16,46.5,53.31,67.54,64.17,71.53,72.49,64.04,59.45,64.38,63.47,60.73,60.83,58.43,59.42,52.82,64.56,63.52,63.36,63.28,63.31,63.57,55.32,65.16,66.13,67.69,71.11,71.11,63.44,53.11,70.3,71.4,76.17,73.28,73.3,63.26,57.1,65.76,65.61,66.65,66.94,69.08,49.4,53.21,72.52,73.62,68.61,68.53,74.37,58.04,58.87,72,72.23,62.68,68.29,72,61.69,56.92,65.4,64.59,63.34,68.11,65.74,57.7,59.32,67.82,69.68,64.3,67.09,66.99,59.42,55.69,70.3,64.9,63.7,68.06,76.28,64.04,56.18,69.81,68.29,70.59,72.16,71.97,64.01,60.67,75.55,65.61,71.27,67.75,73.62,65.21,54.44,67.01,71.74,70.51,67.07,66.23,64.74,55.4,56.81,63.13,68.63,74.97,72.18,69.91,55.14,59.16,66.34,72.96,70.77,70.22
"4297","county","St. Louis County","walking","","Missouri","United States",100,108.5,102.95,106.09,82.3,118.78,82.69,97.72,100.54,92.33,81.36,110.18,120.96,79.87,90.75,92.3,89.21,96.49,121.97,128.23,90.52,96.48,88.37,78.41,94.71,112.64,116.88,80.34,95.53,101.06,90.17,102.72,136.47,126.58,98.81,103.47,99.69,102.53,101.92,127.83,142.91,99.9,91.97,97.39,99.72,110.22,131.03,144.29,104,105.22,109.61,108.41,114.92,136.28,145.19,102.36,96.6,107.21,105.46,98.75,113.58,100.57,69.22,83.13,81.85,78.53,71.48,81.56,76.7,54.56,63.77,57.08,75.32,77.96,76.97,64.17,77.47,77.45,75.46,79.17,75.35,81.1,60.36,61.03,76.04,83.35,81.92,75.84,85.44,74,59.05,72.29,74.76,81.49,82.09,74.77,89.52,76.87,86.24,90.1,85.36,84.53,95.27,73.06,90.21,84.38,88.87,78.18,103.78,109.84,104.13,85.31,93.27,102.89,107.63,117.23,113.32,123.82,84.6,109.73,83.05,107.85,123.02,137.32,130.5,106.84,134.08,140.28,146.72,156.82,165.2,150.49,114.81,120.1,142.65,140.74,153.34,183.03,172.92,141.11,151.54,159.02,157.76,165.63,183.1,169.09,129.52,154.16,147.7,165.3,174.03,183.95,168.64,135.99,160.45,160.47,162.26,175.17,179.66,159.37,125.75,154.86,181.4,174.12,180.73,187.37,165.87,141.94,166.16,147.1,166.99,176.53,170.71,128.9,132.52,163.55,167.3,165.73,174.4,192.24,175.7,147.26,168.7,170.02,162.6,179.36,186.71,170.93,136.53,160.13,154.68,174.67,177.84,190.41,170.01,144.31,155.62,171.05,162.81,171.41,176.67,171.28,139.96,172.57,187.79,178.01,175.87,202.58,163.92,134.32,158.1,178.75,174.46,174.04,193.83,171.99,139.42,160.32,168.52,172.76,180.71,188.49,177.13,139.18,156.38,153.38,161,162.71,190.45,170.1,130.36,146.66,149.26,159.13,166.27,197.49,184.03,148.77,137.33,163.37,167.53,170.14,197.3
"4317","county","Ste. Genevieve County","driving","","Missouri","United States",100,101.51,99.08,101.83,98.82,138.79,109.04,120.18,100.13,91.68,79.16,112.19,121.95,102.03,100.13,90.17,94.69,106.29,125.95,132.44,115.6,100.46,102.42,74.97,92.73,124.84,138.01,105.77,117.96,101.31,99.74,110.62,144.3,140.76,124.18,126.93,107.47,102.69,116.38,140.63,141.28,121.56,98.89,102.62,103.93,109.31,135.32,164.09,137.81,111.4,103.54,113.17,133.55,160.68,186.37,141.02,111.86,124.31,122.28,127.26,159.44,148.82,119.99,94.1,109.17,102.95,89.58,130.87,103.87,66.91,68.74,68.61,73.98,86.24,77.46,71.23,96.59,73.72,77.59,69.07,76.08,74.84,55.31,58.78,73.98,77.72,72.61,78.96,90.63,76.34,44.36,71.3,76.67,83.55,94.76,81.98,125.1,77.52,88.53,86.96,91.15,74.9,98.1,76.47,112.39,86.17,104.52,86.83,107.4,117.82,158.98,101.97,96.72,98.3,109.9,118.87,117.56,166.84,137.22,NA,NA,105.18,126.28,129.1,160.03,121.76,133.22,110.62,137.48,141.55,170.97,235.85,173.66,147.51,128.05,115.33,143.77,165.27,237.75,204.46,144.43,150.66,153.01,146.4,192.4,251.9,200.79,144.63,133.68,166.78,166.97,214.81,284.27,221.69,159.5,161.14,170.31,186.57,228.18,265.27,193.05,144.63,169.13,169.4,181.52,238.66,266.12,228.44,148.23,153.93,170.77,190.96,248.82,209.76,200.72,175.23,144.17,168.41,190.69,236.96,293.91,237.75,160.42,161.73,166.38,182.31,220.58,259.63,188.79,162.25,155.11,158.98,162.91,234.73,260.62,197.77,148.89,166.38,157.21,178.18,204.13,246.53,178.11,141.15,157.27,169.13,189.97,230.14,295.48,192.79,163.11,148.89,170.45,169.07,245.94,258.65,204.26,172.61,144.56,163.37,175.56,204.59,241.42,189.32,128.51,122.87,143.12,146.26,192.66,223.92,179.75,124.77,132.18,141.94,165.66,234.01,283.81,230.6,198.89,146,141.42,159.04,212.98
"4326","county","Stoddard County","driving","","Missouri","United States",100,94.75,105.36,100.51,103.71,106.39,65.79,86.6,96.52,101.6,85.52,111.63,98.8,67.9,88.94,84.89,84.72,93.1,103.42,104.1,70.75,99.32,98.12,95.84,100.74,108.84,112.26,88.71,102.39,97.15,99.6,105.87,135.06,118.93,80.67,107.07,115.11,105.93,113.8,115.96,126,82.16,112.09,114.31,102.39,116.76,115.96,114.48,90.31,100.4,121.95,129.53,116.36,121.44,123.32,86.6,112.71,112.77,115.11,107.53,123.49,97.26,74.12,79.19,100.06,91.33,83.12,93.73,80.56,59.86,74.8,70.7,71.66,72.46,91.73,64.31,64.77,76.68,67.96,69.61,80.1,83.3,61.12,52.57,86.37,87.17,94.93,90.31,99.94,81.47,48,93.96,98.23,103.59,101.77,109.52,91.62,73.55,108.44,118.76,104.05,94.41,115.51,102.22,92.99,110.43,109.58,121.15,114.99,137.51,126.62,86.89,107.41,128.28,116.42,127.42,143.73,147.15,98,NA,NA,119.1,134.78,144.58,121.21,105.99,144.18,142.76,152.85,166.08,198.06,202.91,122.58,131.3,162.2,133.35,149.89,166.76,155.93,115.11,165.45,166.02,141.68,151.31,174.97,158.04,130.1,137.57,118.47,156.44,158.04,186.03,178.96,125.48,152.11,173.2,146.41,167.79,196.24,159.81,129.93,147.26,165.34,171.38,176.57,201.08,172.63,153.93,163.06,150.74,159.86,176.51,166.99,120.24,147.61,168.99,157.75,162.2,177.94,218.47,187.51,136.15,159.41,162.66,164.14,172.35,184.26,158.55,125.09,139.22,157.81,159.12,160.66,174.34,155.47,130.33,153.93,159.86,166.36,169.67,183.64,167.56,140.88,156.67,164.99,176.85,169.33,208.55,163.74,133.47,145.95,151.88,159.58,151.82,183.58,166.59,127.14,156.73,143.39,152.11,153.42,176.8,156.21,113.74,137.91,147.43,131.58,144.01,147.38,148.8,100.51,126.11,132.38,133.69,148.57,171.72,160.03,126.23,122.81,153.48,149.14,158.61,183.87
"4328","county","Stone County","driving","","Missouri","United States",100,99.8,94.64,102.86,90.71,129.34,97.14,102.81,105.77,71.89,92.3,106.73,130.66,102.4,97.19,107.65,83.27,104.23,117.81,129.13,94.8,101.68,89.64,66.22,112.96,125.61,135.66,101.94,106.33,109.95,92.7,105,160.36,170.51,149.23,138.98,111.58,95.77,118.72,141.58,151.12,114.85,110.36,114.8,108.93,126.43,163.93,196.43,133.67,127.35,123.93,128.57,139.69,173.57,214.8,175.31,145.61,169.44,154.03,168.32,197.86,216.22,186.12,162.4,153.57,136.02,132.3,127.55,112.5,80.46,95.77,77.96,101.22,109.85,116.58,101.38,96.58,88.47,103.67,101.33,85.82,85.2,85.71,73.11,76.53,92.4,107.45,101.12,119.69,93.27,63.32,86.53,90.2,105.87,112.4,116.48,153.32,97.4,116.84,118.88,96.28,114.34,124.03,154.8,168.37,117.4,120.77,140.51,165.82,220.87,347.76,155.66,125.66,142.5,163.47,149.74,189.08,226.84,170.97,NA,NA,171.53,191.02,224.95,246.07,231.33,212.76,230.61,258.83,297.5,409.29,636.94,559.95,391.68,272.65,215.05,249.34,365.77,511.79,377.6,299.64,263.52,261.89,292.19,477.04,580.61,491.84,307.76,313.21,316.22,370.87,548.83,684.39,526.94,392.09,373.88,387.65,421.89,578.52,678.47,505.56,377.86,430.1,438.42,507.35,635.97,737.5,615.1,452.14,446.02,516.79,609.95,885.26,806.02,728.93,527.14,493.78,494.13,520.26,644.39,679.44,597.04,497.35,496.68,514.18,534.29,633.06,756.73,634.23,553.27,496.17,489.59,542.3,685.77,803.67,664.44,519.08,500.2,482.35,533.52,598.83,761.94,627.76,549.85,491.33,519.44,542.96,667.55,771.12,648.47,423.47,378.72,430.51,445.31,561.28,687.65,580.56,362.96,367.5,344.03,373.52,513.27,647.19,499.08,293.32,277.55,289.69,313.78,434.49,484.64,362.6,258.32,250.2,259.23,334.34,570.87,902.4,861.73,648.57,302.76,301.43,298.27,395.15
"4373","county","Taney County","driving","","Missouri","United States",100,89.9,90.19,103.95,112.93,187.68,140.59,118.03,96.28,81.05,95.98,123.31,167.67,122.16,101.04,95.05,92.12,105.61,139.61,175.09,104.44,91.73,89.64,71.44,97.14,132.38,182.14,133.65,116.7,115.85,101.84,123.31,218.66,302.87,214.8,137.18,111.26,118.21,125.69,193.24,245.29,158.14,117.82,116.44,117.92,133.67,196.3,270.7,179.68,137.82,137.34,136.05,148.62,241.08,347.84,248.39,210.33,239.46,233.46,237.87,302.79,332.92,244.92,206.66,186.83,150.27,112.24,109.35,99.38,55.48,62.97,55.38,66.9,70.38,68.29,62.04,58.53,53.53,58.25,56.85,54.02,58.32,54.72,46.55,51.95,54.2,63.26,59.23,65.82,63.21,40.72,58.35,62.85,74.56,66.64,70.75,89.08,58.72,70.62,77.04,64.66,74.08,75.86,87.97,88.97,77.12,79.22,85.13,100.85,111.33,123.45,84.74,85.02,105.63,105.11,103.97,131.55,153.29,113.25,NA,NA,119.06,129.75,158.45,181.17,163.42,162.58,165.95,176.68,194.88,289.18,420.55,372.76,273.71,193.52,187.02,212.24,287.86,357.55,273.2,218.83,225.75,225.04,261.66,383.66,450.43,355.98,276.84,288.23,300.8,321.67,476.32,536.33,424.92,341.88,348.1,370.93,419.31,582.31,649.42,467.05,385.05,406.58,424.25,466.59,658.63,748.69,545.9,443.1,420.66,449.24,527.45,827.89,789.26,620.25,492.95,495.15,503.31,525.28,641.64,743.76,579.78,462.48,461.82,492.17,528.01,682.28,786.65,617.41,508.76,501.66,515.37,571.52,736.3,859.51,657.24,508.7,510.3,528.35,536.51,678.8,816.34,614.59,483.55,494.27,482.11,497.73,699.43,803.93,571.44,410.58,394.48,368.89,407.07,552.47,678.33,474.7,339.56,320.22,310.61,339.71,473.14,609.35,423.75,268.66,262.49,280.99,285.91,405.86,490.71,342.21,247.67,238.5,239.09,296.49,511.2,913.55,846.55,561.38,278.21,263.44,299.46,456.36
"4482","county","Vernon County","driving","","Missouri","United States",100,109.39,101.37,114.15,116.03,124.98,99.35,115.02,98.99,82.89,92.42,117.62,125.49,97.11,99.06,91.26,94.44,116.32,150.61,122.38,86.86,105.7,105.63,71.55,93.72,136.39,118.12,100.07,97.26,109.96,90.4,114.87,157.98,174.44,116.97,119.49,106.06,106.79,111.34,143.39,121.44,107.15,109.39,108.3,116.25,113.79,150.69,147.44,111.99,98.34,136.32,106.21,123.54,174.44,158.41,134.08,109.39,113.5,115.74,117.4,148.38,123.61,124.33,109.39,101.52,101.23,95.6,110.83,86.28,75.23,72.92,74.08,75.45,77.91,72.92,71.84,62.02,71.7,74.3,75.6,80.07,95.88,65.42,60.07,74.51,72.27,67.36,73,80,68.16,49.82,67.36,73.94,81.01,76.97,98.27,81.23,73.5,84.26,91.12,79.13,84.48,99.64,94.8,84.98,98.48,87.22,96.82,114.22,136.32,105.99,98.19,91.55,111.12,105.78,108.81,131.84,146.71,111.26,NA,NA,103.25,131.91,149.89,138.92,163.18,131.91,122.96,136.32,177.55,241.66,222.45,175.81,160.58,143.61,128.81,141.66,195.16,202.67,168.52,135.45,144.55,148.38,171.34,223.75,217.18,177.04,150.25,143.25,144.98,163.75,223.39,193.94,193.86,155.23,136.75,152.64,189.89,231.34,224.12,178.19,165.99,164.69,175.31,198.48,233.21,214.58,217.55,156.39,158.92,173.43,225.27,217.83,131.19,222.96,177.76,160.43,161.59,187.44,234.08,199.49,197.26,151.91,158.63,167.44,184.55,237.91,215.96,184.69,179.49,158.84,176.68,194.22,251.7,200.51,208.88,159.64,147,164.69,190.47,235.88,195.88,197.55,174.15,157.98,170.83,188.81,237.83,194.22,208.45,164.33,166.21,171.34,183.68,237.55,209.17,193.21,173.57,164.98,156.1,175.02,238.19,187,199.35,151.48,149.89,153.57,142.82,207.36,158.19,167,137.11,143.25,134.73,180.43,279.28,224.4,175.16,226.93,147.51,141.3,156.17,219.06
"4513","county","Warren County","driving","","Missouri","United States",100,97.39,97.16,116.16,79.6,127.04,98.76,187.32,101.52,93.68,84.35,106.38,125.01,93.56,94.1,108.46,93.73,104.1,124.59,119.17,90.67,103.01,95.81,85.27,99.33,124.82,128.13,99.21,99.52,100.39,88.25,105.4,132.41,123.44,111.92,107.22,96.12,100.14,105.03,157.95,143.25,118.35,108.21,102.39,110.06,110.48,153.29,147.11,125.13,100,108.46,114.17,120.32,164.92,155.68,136.65,106.94,114.17,115.96,114.08,150.98,129.93,110.29,104.41,101.69,94.21,95.95,106.75,103.77,68.86,75.72,74.54,77.94,83.53,82.15,82.8,83.19,84.54,80.49,79.57,84.6,85.44,70.52,68.18,71.19,77.8,89.46,86.54,100.17,87.86,54.08,78.16,79.23,98.79,92.72,94.32,106.32,94.35,96.43,106.46,97.47,95.14,106.52,91.77,100.87,100.39,100.39,93.99,120.49,142.47,140.25,110.65,102.92,109.39,117.09,123.75,147.19,153.77,101.41,NA,NA,124.87,121.5,161.07,155.06,126.95,139.85,137.86,146.18,183.02,213.46,207.59,162.23,158.74,143.65,144.88,148,198.43,219.56,181.59,156.66,156.69,151.66,157.81,203.71,207.95,194.46,156.63,145.62,166.25,185.16,226.7,230.07,235.16,167.96,157.05,175.46,184.71,247.55,239.6,216.53,166.81,221.59,189.38,191.79,246.37,233.39,212.25,201.77,162.06,192.05,226.98,241.09,200.25,225.6,179.45,165.21,185.92,191.65,247.78,234.4,209.36,173.13,172.91,170.12,190.89,231.53,234.77,206.16,157.7,171.11,170.63,183.98,237.18,235.19,214.56,154.05,175.21,176.39,180.33,218.27,248.65,204.67,182.63,175.63,186.03,203.63,236.51,235.47,198.99,157.76,161.72,177.32,189.8,240.19,317.14,209.53,160.91,174.06,183.67,174.37,232.63,241.12,190.67,156.97,155.65,155.42,163.46,222.12,215.35,184.88,147.13,144.69,155.9,168.07,245.59,254.58,201.18,214.14,157.56,151.55,168.66,222.77
"4585","county","Webster County","driving","","Missouri","United States",100,102.62,119.95,116.78,109.66,136.86,94.88,130.7,103.96,82.76,91.63,109.79,137.44,94.75,98.21,104.58,85.09,110.2,141.19,139.86,103.83,106.21,99.38,66.76,98.88,130.95,140.86,106.33,104.5,106.71,95.59,127.28,161.97,148.35,110.66,132.32,115.95,107.25,120.45,156.43,151.1,123.16,112.37,118.41,106.96,124.28,160.06,150.27,127.16,115.33,122.41,115.33,128.24,178.88,173.26,128.95,110.7,116.2,124.24,140.27,174.76,162.68,112.29,112.16,106.33,109.95,115.66,123.41,114.12,84.8,88.59,81.38,94.84,96.29,97,78.72,76.72,77.97,80.3,87.09,83.8,90.09,76.47,62.93,78.63,78.38,84.96,89.67,101.25,78.3,56.77,90.67,85.26,97.13,94.04,105.41,104.87,87.76,95.67,94.79,97.17,100.04,110.2,105.12,97.25,102.12,97.88,101.96,116.99,144.11,134.53,98.83,110.29,111.45,119.78,125.03,152.02,168.35,108.87,NA,NA,120.74,135.9,166.31,165.14,133.61,137.86,145.61,156.14,191.17,219.99,205.25,160.64,159.18,158.81,149.35,169.3,205.54,226.74,163.93,158.85,158.64,173.51,181.42,230.2,204.62,171.64,149.98,158.89,175.72,203.17,233.86,219.37,182.26,177.55,174.68,182.3,212.04,245.98,228.61,179.05,192.21,183.22,185.67,211.5,241.52,251.4,208.41,192.5,203.75,197.83,249.9,257.85,181.63,231.11,202.17,194.54,201.58,198.46,258.98,248.56,211.83,187.46,181.05,185.96,196,254.6,228.45,192.88,195.46,187.88,179.09,204.79,244.4,248.52,209.75,183.09,168.05,181.72,206.66,251.1,236.53,194.88,192,188.05,194.34,223.7,247.15,238.9,206.62,197.29,187.92,192.75,209.29,250.56,223.41,198.13,184.01,167.97,191.55,189.84,228.11,206.54,172.47,154.94,165.01,152.98,171.76,222.78,195.79,154.23,160.77,162.89,160.31,195.04,296.5,220.03,175.3,213.87,184.34,165.47,223.28,222.41
