geo_type,region,transportation_type,alternative_name,sub-region,country,date,count
city,Wichita,driving,NA,Kansas,United States,2020-04-21,89.85
city,Wichita,driving,NA,Kansas,United States,2020-04-22,79.57
city,Wichita,driving,NA,Kansas,United States,2020-04-23,95.32
city,Wichita,driving,NA,Kansas,United States,2020-04-24,95.99
city,Wichita,driving,NA,Kansas,United States,2020-04-25,94.17
city,Wichita,driving,NA,Kansas,United States,2020-04-26,71.31
city,Wichita,driving,NA,Kansas,United States,2020-04-27,92.94
city,Wichita,driving,NA,Kansas,United States,2020-04-28,94.55
city,Wichita,driving,NA,Kansas,United States,2020-04-29,96.82
city,Wichita,driving,NA,Kansas,United States,2020-04-30,102.06
city,Wichita,driving,NA,Kansas,United States,2020-05-01,118.65
city,Wichita,driving,NA,Kansas,United States,2020-05-02,102.51
city,Wichita,driving,NA,Kansas,United States,2020-05-03,80.45
city,Wichita,driving,NA,Kansas,United States,2020-05-04,101.13
city,Wichita,driving,NA,Kansas,United States,2020-05-05,115.06
city,Wichita,driving,NA,Kansas,United States,2020-05-06,109.68
city,Wichita,driving,NA,Kansas,United States,2020-05-07,101.89
city,Wichita,driving,NA,Kansas,United States,2020-05-08,129.19
city,Wichita,driving,NA,Kansas,United States,2020-05-09,121.47
city,Wichita,driving,NA,Kansas,United States,2020-05-10,82.66
city,Wichita,driving,NA,Kansas,United States,2020-05-11,NA
city,Wichita,driving,NA,Kansas,United States,2020-05-12,NA
city,Wichita,driving,NA,Kansas,United States,2020-05-13,108.86
city,Wichita,driving,NA,Kansas,United States,2020-05-14,122.35
city,Wichita,driving,NA,Kansas,United States,2020-05-15,134.58
city,Wichita,driving,NA,Kansas,United States,2020-05-16,124.47
city,Wichita,driving,NA,Kansas,United States,2020-05-17,98.73
city,Wichita,driving,NA,Kansas,United States,2020-05-18,131
city,Wichita,driving,NA,Kansas,United States,2020-05-19,137.68
city,Wichita,driving,NA,Kansas,United States,2020-05-20,137.95
city,Wichita,driving,NA,Kansas,United States,2020-05-21,134.99
city,Wichita,driving,NA,Kansas,United States,2020-05-22,158.55
city,Wichita,driving,NA,Kansas,United States,2020-05-23,144.12
city,Wichita,driving,NA,Kansas,United States,2020-05-24,106.15
city,Wichita,driving,NA,Kansas,United States,2020-05-25,97.54
city,Wichita,driving,NA,Kansas,United States,2020-05-26,135.84
city,Wichita,driving,NA,Kansas,United States,2020-05-27,142.44
city,Wichita,driving,NA,Kansas,United States,2020-05-28,145.75
city,Wichita,driving,NA,Kansas,United States,2020-05-29,168.71
city,Wichita,driving,NA,Kansas,United States,2020-05-30,160.54
city,Wichita,driving,NA,Kansas,United States,2020-05-31,116.8
city,Wichita,driving,NA,Kansas,United States,2020-06-01,145.07
city,Wichita,driving,NA,Kansas,United States,2020-06-02,142.32
city,Wichita,driving,NA,Kansas,United States,2020-06-03,143.03
city,Wichita,driving,NA,Kansas,United States,2020-06-04,154.6
city,Wichita,driving,NA,Kansas,United States,2020-06-05,174.27
city,Wichita,driving,NA,Kansas,United States,2020-06-06,161.77
city,Wichita,driving,NA,Kansas,United States,2020-06-07,119.3
city,Wichita,driving,NA,Kansas,United States,2020-06-08,146.31
city,Wichita,driving,NA,Kansas,United States,2020-06-09,147.73
city,Wichita,driving,NA,Kansas,United States,2020-06-10,151.77
city,Wichita,driving,NA,Kansas,United States,2020-06-11,157.07
city,Wichita,driving,NA,Kansas,United States,2020-06-12,182.98
city,Wichita,driving,NA,Kansas,United States,2020-06-13,175.83
city,Wichita,driving,NA,Kansas,United States,2020-06-14,127.12
city,Wichita,driving,NA,Kansas,United States,2020-06-15,150.08
city,Wichita,driving,NA,Kansas,United States,2020-06-16,155.74
city,Wichita,driving,NA,Kansas,United States,2020-06-17,153.72
city,Wichita,driving,NA,Kansas,United States,2020-06-18,164.92
city,Wichita,driving,NA,Kansas,United States,2020-06-19,178.78
city,Wichita,driving,NA,Kansas,United States,2020-06-20,183.24
city,Wichita,driving,NA,Kansas,United States,2020-06-21,117.24
city,Wichita,driving,NA,Kansas,United States,2020-06-22,152.18
city,Wichita,driving,NA,Kansas,United States,2020-06-23,159.25
city,Wichita,driving,NA,Kansas,United States,2020-06-24,161.11
city,Wichita,driving,NA,Kansas,United States,2020-06-25,175.67
city,Wichita,driving,NA,Kansas,United States,2020-06-26,205.34
city,Wichita,driving,NA,Kansas,United States,2020-06-27,201.18
city,Wichita,driving,NA,Kansas,United States,2020-06-28,137.29
city,Wichita,driving,NA,Kansas,United States,2020-06-29,152.89
city,Wichita,driving,NA,Kansas,United States,2020-06-30,155.56
city,Wichita,driving,NA,Kansas,United States,2020-07-01,163.31
city,Wichita,driving,NA,Kansas,United States,2020-07-02,171.56
